sentence,tokens,tags
Pu'u Moaulanui in Hawaii rises to 452 meters and is known for its beautiful scenery and unique ecosystem.,"[""Pu'u"", 'Moaulanui', 'in', 'Hawaii', 'rises', 'to', '452', 'meters', 'and', 'is', 'known', 'for', 'its', 'beautiful', 'scenery', 'and', 'unique', 'ecosystem.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Blue Mountain in Ontario, Canada, also stands at 452 meters and is a popular skiing destination.","['Blue', 'Mountain', 'in', 'Ontario,', 'Canada,', 'also', 'stands', 'at', '452', 'meters', 'and', 'is', 'a', 'popular', 'skiing', 'destination.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Muryongsan in Ulsan, South Korea, reaches 452 meters and is a favorite among local hikers.","['Muryongsan', 'in', 'Ulsan,', 'South', 'Korea,', 'reaches', '452', 'meters', 'and', 'is', 'a', 'favorite', 'among', 'local', 'hikers.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Achladokambos in Greece rises to 450 meters, offering picturesque views of the surrounding landscape.","['Achladokambos', 'in', 'Greece', 'rises', 'to', '450', 'meters,', 'offering', 'picturesque', 'views', 'of', 'the', 'surrounding', 'landscape.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Dongdaesan in Ulsan, South Korea, stands at 447 meters and is a popular spot for nature enthusiasts.","['Dongdaesan', 'in', 'Ulsan,', 'South', 'Korea,', 'stands', 'at', '447', 'meters', 'and', 'is', 'a', 'popular', 'spot', 'for', 'nature', 'enthusiasts.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Diamond Hill in Connemara National Park, Ireland, reaches 442 meters and is known for its natural beauty.","['Diamond', 'Hill', 'in', 'Connemara', 'National', 'Park,', 'Ireland,', 'reaches', '442', 'meters', 'and', 'is', 'known', 'for', 'its', 'natural', 'beauty.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Gibraltar, with a height of 426 meters, offers stunning views of the surrounding sea.","['Gibraltar,', 'with', 'a', 'height', 'of', '426', 'meters,', 'offers', 'stunning', 'views', 'of', 'the', 'surrounding', 'sea.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Pic Paradis in Saint Martin, France, rises to 424 meters and is the highest point on the island.","['Pic', 'Paradis', 'in', 'Saint', 'Martin,', 'France,', 'rises', 'to', '424', 'meters', 'and', 'is', 'the', 'highest', 'point', 'on', 'the', 'island.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Havsula in Svalbard, Norway, reaches 415 meters and is known for its dramatic landscapes.","['Havsula', 'in', 'Svalbard,', 'Norway,', 'reaches', '415', 'meters', 'and', 'is', 'known', 'for', 'its', 'dramatic', 'landscapes.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Storm King Mountain in the Hudson Highlands of New York, USA, stands at 408 meters and offers great hiking.","['Storm', 'King', 'Mountain', 'in', 'the', 'Hudson', 'Highlands', 'of', 'New', 'York,', 'USA,', 'stands', 'at', '408', 'meters', 'and', 'offers', 'great', 'hiking.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Gyeyangsan in Incheon, South Korea, rises to 395 meters, providing stunning views of the city.","['Gyeyangsan', 'in', 'Incheon,', 'South', 'Korea,', 'rises', 'to', '395', 'meters,', 'providing', 'stunning', 'views', 'of', 'the', 'city.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Galloway in the Antipode Islands of New Zealand reaches 366 meters and is known for its remoteness.,"['Mount', 'Galloway', 'in', 'the', 'Antipode', 'Islands', 'of', 'New', 'Zealand', 'reaches', '366', 'meters', 'and', 'is', 'known', 'for', 'its', 'remoteness.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Pawala Valley Ridge in the Pitcairn Islands stands at 347 meters, marking the highest point of the islands.","['Pawala', 'Valley', 'Ridge', 'in', 'the', 'Pitcairn', 'Islands', 'stands', 'at', '347', 'meters,', 'marking', 'the', 'highest', 'point', 'of', 'the', 'islands.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Loughrigg Fell in Central Fells, England, reaches 335 meters and is a favorite among local hikers.","['Loughrigg', 'Fell', 'in', 'Central', 'Fells,', 'England,', 'reaches', '335', 'meters', 'and', 'is', 'a', 'favorite', 'among', 'local', 'hikers.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Kinka (Gifu) in Japan rises to 329 meters and is popular for its scenic views and hiking trails.,"['Mount', 'Kinka', '(Gifu)', 'in', 'Japan', 'rises', 'to', '329', 'meters', 'and', 'is', 'popular', 'for', 'its', 'scenic', 'views', 'and', 'hiking', 'trails.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Vaalserberg in Limburg, Netherlands, stands at 321 meters, marking the highest point in the country.","['Vaalserberg', 'in', 'Limburg,', 'Netherlands,', 'stands', 'at', '321', 'meters,', 'marking', 'the', 'highest', 'point', 'in', 'the', 'country.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Bates in Norfolk Island, Australia, reaches 319 meters and is known for its beautiful scenery.","['Mount', 'Bates', 'in', 'Norfolk', 'Island,', 'Australia,', 'reaches', '319', 'meters', 'and', 'is', 'known', 'for', 'its', 'beautiful', 'scenery.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Suur Munamägi in Haanja, Estonia, rises to 318 meters and is the highest point in the country.","['Suur', 'Munamägi', 'in', 'Haanja,', 'Estonia,', 'rises', 'to', '318', 'meters', 'and', 'is', 'the', 'highest', 'point', 'in', 'the', 'country.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Gaiziņkalns in Latvia stands at 312 meters, marking the highest point in Latvia.","['Gaiziņkalns', 'in', 'Latvia', 'stands', 'at', '312', 'meters,', 'marking', 'the', 'highest', 'point', 'in', 'Latvia.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mutla Ridge in Kuwait reaches 306 meters, recognized as the highest point in the country.","['Mutla', 'Ridge', 'in', 'Kuwait', 'reaches', '306', 'meters,', 'recognized', 'as', 'the', 'highest', 'point', 'in', 'the', 'country.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Aukštojas in Medininkai, Lithuania, stands at 293.84 meters and is known for its natural beauty.","['Aukštojas', 'in', 'Medininkai,', 'Lithuania,', 'stands', 'at', '293.84', 'meters', 'and', 'is', 'known', 'for', 'its', 'natural', 'beauty.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Kruopinė in Vilnius, Lithuania, reaches 293.65 meters, offering picturesque views of the city.","['Kruopinė', 'in', 'Vilnius,', 'Lithuania,', 'reaches', '293.65', 'meters,', 'offering', 'picturesque', 'views', 'of', 'the', 'city.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Juozapinė in Vilnius, Lithuania, rises to 292.7 meters, surrounded by beautiful landscapes.","['Juozapinė', 'in', 'Vilnius,', 'Lithuania,', 'rises', 'to', '292.7', 'meters,', 'surrounded', 'by', 'beautiful', 'landscapes.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Morne du Vitet in Saint Barthélemy, France, reaches 286 meters and is the highest point of the island.","['Morne', 'du', 'Vitet', 'in', 'Saint', 'Barthélemy,', 'France,', 'reaches', '286', 'meters', 'and', 'is', 'the', 'highest', 'point', 'of', 'the', 'island.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Qixia Mountain in Nanjing, China, stands at 286 meters and is known for its scenic beauty.","['Qixia', 'Mountain', 'in', 'Nanjing,', 'China,', 'stands', 'at', '286', 'meters', 'and', 'is', 'known', 'for', 'its', 'scenic', 'beauty.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Hwajangsan in Ulsan, South Korea, reaches 285 meters, offering stunning views of the surrounding areas.","['Hwajangsan', 'in', 'Ulsan,', 'South', 'Korea,', 'reaches', '285', 'meters,', 'offering', 'stunning', 'views', 'of', 'the', 'surrounding', 'areas.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Potolaka/Putuo Shan in Zhejiang, China, rises to 284 meters and is recognized for its cultural significance.","['Potolaka/Putuo', 'Shan', 'in', 'Zhejiang,', 'China,', 'rises', 'to', '284', 'meters', 'and', 'is', 'recognized', 'for', 'its', 'cultural', 'significance.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Westmacott in New South Wales, Australia, stands at 253 meters and is a great spot for hiking.","['Westmacott', 'in', 'New', 'South', 'Wales,', 'Australia,', 'stands', 'at', '253', 'meters', 'and', 'is', 'a', 'great', 'spot', 'for', 'hiking.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Jerimoth Hill in Rhode Island, USA, reaches 247 meters and is the highest point in the state.","['Jerimoth', 'Hill', 'in', 'Rhode', 'Island,', 'USA,', 'reaches', '247', 'meters', 'and', 'is', 'the', 'highest', 'point', 'in', 'the', 'state.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Ngerchelchuus in Babeldaob, Palau, rises to 242 meters and is a notable geographic feature.","['Mount', 'Ngerchelchuus', 'in', 'Babeldaob,', 'Palau,', 'rises', 'to', '242', 'meters', 'and', 'is', 'a', 'notable', 'geographic', 'feature.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Diamond Head in Hawaii, USA, stands at 232 meters and is famous for its volcanic crater.","['Diamond', 'Head', 'in', 'Hawaii,', 'USA,', 'stands', 'at', '232', 'meters', 'and', 'is', 'famous', 'for', 'its', 'volcanic', 'crater.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Yeomposan in Ulsan, South Korea, reaches 203 meters and is known for its beautiful scenery.","['Yeomposan', 'in', 'Ulsan,', 'South', 'Korea,', 'reaches', '203', 'meters', 'and', 'is', 'known', 'for', 'its', 'beautiful', 'scenery.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Hamwolsan in Ulsan, South Korea, rises to 200 meters and is a popular spot for locals.","['Hamwolsan', 'in', 'Ulsan,', 'South', 'Korea,', 'rises', 'to', '200', 'meters', 'and', 'is', 'a', 'popular', 'spot', 'for', 'locals.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Great Blue Hill in Massachusetts, USA, stands at 193.5 meters and offers great hiking opportunities.","['Great', 'Blue', 'Hill', 'in', 'Massachusetts,', 'USA,', 'stands', 'at', '193.5', 'meters', 'and', 'offers', 'great', 'hiking', 'opportunities.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Alto de Coloane in Macau reaches 170 meters, recognized as the highest point on the peninsula.","['Alto', 'de', 'Coloane', 'in', 'Macau', 'reaches', '170', 'meters,', 'recognized', 'as', 'the', 'highest', 'point', 'on', 'the', 'peninsula.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Bukit Timah Hill in Singapore rises to 164 meters, known for its rich biodiversity and nature trails.","['Bukit', 'Timah', 'Hill', 'in', 'Singapore', 'rises', 'to', '164', 'meters,', 'known', 'for', 'its', 'rich', 'biodiversity', 'and', 'nature', 'trails.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Himmelbjerget in Silkeborg, Denmark, stands at 147 meters and can be accessed via ferry.","['Himmelbjerget', 'in', 'Silkeborg,', 'Denmark,', 'stands', 'at', '147', 'meters', 'and', 'can', 'be', 'accessed', 'via', 'ferry.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Les Platons in Jersey, United Kingdom, rises to 143 meters, marking the highest point on the island.","['Les', 'Platons', 'in', 'Jersey,', 'United', 'Kingdom,', 'rises', 'to', '143', 'meters,', 'marking', 'the', 'highest', 'point', 'on', 'the', 'island.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Aborrebjerg in Møn, Denmark, stands at 143 meters, offering picturesque views of the surrounding countryside.","['Aborrebjerg', 'in', 'Møn,', 'Denmark,', 'stands', 'at', '143', 'meters,', 'offering', 'picturesque', 'views', 'of', 'the', 'surrounding', 'countryside.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Māngere Mountain in New Zealand reaches 107 meters, known for its cultural significance.","['Māngere', 'Mountain', 'in', 'New', 'Zealand', 'reaches', '107', 'meters,', 'known', 'for', 'its', 'cultural', 'significance.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Britton Hill in Florida, USA, stands at 105 meters, recognized as the lowest high point of any .","['Britton', 'Hill', 'in', 'Florida,', 'USA,', 'stands', 'at', '105', 'meters,', 'recognized', 'as', 'the', 'lowest', 'high', 'point', 'of', 'any', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Hakkoda in Aomori Prefecture, Japan, rises to 100 meters and is famous for its hot springs.","['Mount', 'Hakkoda', 'in', 'Aomori', 'Prefecture,', 'Japan,', 'rises', 'to', '100', 'meters', 'and', 'is', 'famous', 'for', 'its', 'hot', 'springs.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Barasat in West Bengal, India, reaches 91 meters and is known for its vibrant culture.","['Barasat', 'in', 'West', 'Bengal,', 'India,', 'reaches', '91', 'meters', 'and', 'is', 'known', 'for', 'its', 'vibrant', 'culture.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Bousquet in Quebec, Canada, rises to 70 meters, popular for its outdoor activities.","['Bousquet', 'in', 'Quebec,', 'Canada,', 'rises', 'to', '70', 'meters,', 'popular', 'for', 'its', 'outdoor', 'activities.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Chaumont in France stands at 55 meters, recognized for its historical significance.","['Chaumont', 'in', 'France', 'stands', 'at', '55', 'meters,', 'recognized', 'for', 'its', 'historical', 'significance.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Iwaki in Aomori, Japan, reaches 45 meters and is known for its beautiful scenery.","['Mount', 'Iwaki', 'in', 'Aomori,', 'Japan,', 'reaches', '45', 'meters', 'and', 'is', 'known', 'for', 'its', 'beautiful', 'scenery.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Sahne Hill in Daejeon, South Korea, stands at 44 meters and offers a tranquil escape from the city.","['Sahne', 'Hill', 'in', 'Daejeon,', 'South', 'Korea,', 'stands', 'at', '44', 'meters', 'and', 'offers', 'a', 'tranquil', 'escape', 'from', 'the', 'city.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Daung in Pyeongtaek, South Korea, reaches 43 meters, providing beautiful views of the surrounding landscape.","['Daung', 'in', 'Pyeongtaek,', 'South', 'Korea,', 'reaches', '43', 'meters,', 'providing', 'beautiful', 'views', 'of', 'the', 'surrounding', 'landscape.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mizuyama in Fukuoka, Japan, rises to 40 meters, known for its serene environment.","['Mizuyama', 'in', 'Fukuoka,', 'Japan,', 'rises', 'to', '40', 'meters,', 'known', 'for', 'its', 'serene', 'environment.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Jangsu Mountain in South Korea stands at 34 meters and is a popular hiking destination.,"['Jangsu', 'Mountain', 'in', 'South', 'Korea', 'stands', 'at', '34', 'meters', 'and', 'is', 'a', 'popular', 'hiking', 'destination.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Visitors to Gros Morne can also explore diverse ecosystems, from coastal areas to boreal forests, making it a great destination for nature lovers and outdoor enthusiasts.","['Visitors', 'to', 'Gros', 'Morne', 'can', 'also', 'explore', 'diverse', 'ecosystems,', 'from', 'coastal', 'areas', 'to', 'boreal', 'forests,', 'making', 'it', 'a', 'great', 'destination', 'for', 'nature', 'lovers', 'and', 'outdoor', 'enthusiasts.']","['O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
